task_id,filename,category,difficulty,generator_provider,generator_model,reference_length,dart_source_chars,function_chars,tests_count,tests_chars,assembly_chars,assembly_lines,cfg_blocks,region_count_ceil_blocks_div_16,blocks_over_first_region,edge_records,cfg_edge_count,dataflow_edge_count,parsed_instruction_count,isolated_nodes,unreachable_nodes,compile_successes_of_10,pass_successes_of_10,any_compile,any_pass,compile_at_1,compile_at_5,pass_at_1,pass_at_5,pass_at_10,mean_codebleu_all_candidates,mean_codebleu_compiled_candidates,long_reference_ge_1000,semantic_failure_all_10
syn_0003,syn_0003.dart,sorting and ordering with custom comparators,medium,or_sonnet,anthropic/claude-sonnet-4.6,1078,1078,32,1,1609,7559,164,34,3,18,78,40,38,153,0,0,6,0,1,0,0.6,1.0,0.0,0.0,0.0,0.6243909999999999,0.615575,1,1
syn_0011,syn_0011.dart,sorting and ordering with custom comparators,hard,or_deepseek,deepseek/deepseek-v4-pro,1339,1339,33,1,1127,12710,290,57,4,41,251,74,177,277,0,0,3,0,1,0,0.3,0.9166666666666666,0.0,0.0,0.0,0.583385,0.6175366666666667,1,1
syn_0018,syn_0018.dart,sorting and ordering with custom comparators,medium,or_kimi,moonshotai/kimi-k2.6,1117,1117,14,1,1243,11555,257,53,4,37,200,69,131,248,0,0,3,0,1,0,0.3,0.9166666666666666,0.0,0.0,0.0,0.373189,0.40099666666666667,1,1
syn_0026,syn_0026.dart,sorting and ordering with custom comparators,hard,or_qwen_max,qwen/qwen3.7-max,1113,1113,18,1,1255,13214,303,60,4,44,236,81,155,292,0,0,3,0,1,0,0.3,0.9166666666666666,0.0,0.0,0.0,0.508633,0.5746833333333333,1,1
syn_0030,syn_0030.dart,sorting and ordering with custom comparators,medium,or_qwen_max,qwen/qwen3.7-max,1094,1094,24,1,1189,8112,191,40,3,24,210,52,158,182,0,0,2,0,1,0,0.2,0.7777777777777778,0.0,0.0,0.0,0.581344,0.622395,1,1
syn_0034,syn_0034.dart,sorting and ordering with custom comparators,hard,or_qwen_plus,qwen/qwen3.7-plus,1359,1359,22,1,1119,11976,276,63,4,47,211,84,127,267,0,0,2,0,1,0,0.2,0.7777777777777778,0.0,0.0,0.0,0.637621,0.594885,1,1
syn_0063,syn_0063.dart,"bit manipulation (masks, popcount, rotations, flags)",medium,or_glm_turbo,z-ai/glm-5-turbo,1006,1006,23,1,946,2628,67,15,1,0,33,17,16,60,0,0,8,0,1,0,0.8,1.0,0.0,0.0,0.0,0.589729,0.592345,1,1
syn_0107,syn_0107.dart,rescued,rescued,rescue,rescued-from-log,2293,2293,41,1,1718,37258,857,177,12,161,803,257,546,848,0,0,4,0,1,0,0.4,0.9761904761904762,0.0,0.0,0.0,0.568143,0.5742825,1,1
syn_0109,syn_0109.dart,rescued,rescued,rescue,rescued-from-log,1951,1951,27,1,1869,20167,487,106,7,90,463,150,313,478,0,0,2,0,1,0,0.2,0.7777777777777778,0.0,0.0,0.0,0.42957900000000004,0.45243,1,1
syn_0119,syn_0119.dart,rescued,rescued,rescue,rescued-from-log,1155,1155,28,1,1481,19144,431,109,7,93,396,150,246,416,0,0,6,0,1,0,0.6,1.0,0.0,0.0,0.0,0.657082,0.6893783333333333,1,1
syn_0126,syn_0126.dart,matrix / 2D grid traversal and transformation,hard,or_nemotron,nvidia/nemotron-3-ultra-550b-a55b,1300,1300,19,1,1169,13920,319,64,4,48,317,89,228,312,0,0,3,0,1,0,0.3,0.9166666666666666,0.0,0.0,0.0,0.688581,0.7075433333333333,1,1
syn_0135,syn_0135.dart,Map/Set based frequency counting and grouping,hard,or_nemotron,nvidia/nemotron-3-ultra-550b-a55b,1609,1609,19,1,1183,22756,522,114,8,98,430,153,277,507,0,0,1,0,1,0,0.1,0.5,0.0,0.0,0.0,0.694311,0.69925,1,1
syn_0138,syn_0138.dart,"string encoding/decoding (run-length, caesar, simple checksums)",hard,or_nemotron,nvidia/nemotron-3-ultra-550b-a55b,1243,1243,17,1,1146,11472,256,66,5,50,368,95,273,249,0,0,5,0,1,0,0.5,0.996031746031746,0.0,0.0,0.0,0.619119,0.611468,1,1
syn_0143,syn_0143.dart,"recursion (trees, divide and conquer, backtracking on small inputs)",hard,or_nemotron,nvidia/nemotron-3-ultra-550b-a55b,1242,1242,23,1,1227,14631,331,76,5,60,371,109,262,322,0,0,7,0,1,0,0.7,1.0,0.0,0.0,0.0,0.644513,0.6482014285714286,1,1
